time,PS,TS,CLDPRS,Q250,lon,lat,TO3
2023-04-01 18:30:00,99641.016,284.52234,26901.941,9.505275e-05,-73.75,40.5,308.28012
2023-04-01 19:30:00,99492.58,285.1107,46163.25,6.5710636e-05,-73.75,40.5,314.19495
2023-04-01 20:30:00,99412.08,284.77936,40931.043,5.0917028e-05,-73.75,40.5,320.4273
2023-04-01 21:30:00,99352.89,284.22614,50479.215,2.5625093e-05,-73.75,40.5,329.49356
2023-04-01 22:30:00,99237.766,283.24017,40671.062,1.776594e-05,-73.75,40.5,337.86108
2023-04-01 23:30:00,99124.29,282.62183,31159.047,1.926507e-05,-73.75,40.5,342.9373
2023-04-02 00:30:00,98982.65,282.5772,28095.2,3.0178202e-05,-73.75,40.5,344.83975
2023-04-02 01:30:00,99160.04,282.1322,28034.35,4.2490192e-05,-73.75,40.5,343.80154
2023-04-02 02:30:00,99446.9,281.08484,33570.727,3.535477e-05,-73.75,40.5,353.7661
2023-04-02 03:30:00,99574.664,280.7674,60315.69,2.9429697e-05,-73.75,40.5,368.84888
2023-04-02 04:30:00,99788.47,280.40906,75691.88,2.0669086e-05,-73.75,40.5,384.47284
2023-04-02 05:30:00,99957.54,279.9823,80941.08,2.3868737e-05,-73.75,40.5,374.28278
2023-04-02 06:30:00,100070.03,279.78064,86539.44,2.5524758e-05,-73.75,40.5,363.6646
2023-04-02 07:30:00,100224.89,279.6556,86475.45,2.1142216e-05,-73.75,40.5,364.4769
2023-04-02 08:30:00,100400.34,279.49573,86631.305,1.8933704e-05,-73.75,40.5,361.61807
2023-04-02 09:30:00,100570.21,279.1756,87365.08,2.334495e-05,-73.75,40.5,358.97375
2023-04-02 10:30:00,100742.67,278.74374,88616.92,2.4439718e-05,-73.75,40.5,358.93457
2023-04-02 11:30:00,100928.05,278.8691,61414.387,2.609261e-05,-73.75,40.5,358.63046
2023-04-02 12:30:00,101077.92,279.39377,28878.27,2.7237767e-05,-73.75,40.5,360.94446
2023-04-02 13:30:00,101183.02,280.14716,28858.043,2.6353513e-05,-73.75,40.5,365.1193
2023-04-02 14:30:00,101256.36,280.96844,,2.5026508e-05,-73.75,40.5,368.12936
2023-04-02 15:30:00,101311.06,281.68826,,2.4414105e-05,-73.75,40.5,369.85077
2023-04-02 16:30:00,101371.234,282.2916,,2.5291745e-05,-73.75,40.5,368.9299
2023-04-02 17:30:00,101415.54,282.68835,,2.490768e-05,-73.75,40.5,366.55652
2023-04-02 18:30:00,101439.625,282.81525,,2.93269e-05,-73.75,40.5,361.80237
2023-04-02 19:30:00,101466.87,282.65076,,3.2194155e-05,-73.75,40.5,358.5176
2023-04-02 20:30:00,101500.73,282.19067,,3.117886e-05,-73.75,40.5,357.64517
2023-04-02 21:30:00,101535.49,281.48633,,3.0452487e-05,-73.75,40.5,355.83298
2023-04-02 22:30:00,101576.47,280.29294,,3.153413e-05,-73.75,40.5,352.56528
2023-04-02 23:30:00,101652.65,278.88412,,3.3830165e-05,-73.75,40.5,350.3345
2023-04-03 00:30:00,101770.33,278.59653,,3.3015407e-05,-73.75,40.5,349.9975
2023-04-03 01:30:00,101850.484,278.2697,24522.178,3.340779e-05,-73.75,40.5,350.4454
2023-04-03 02:30:00,101891.03,277.96487,24544.363,3.6075522e-05,-73.75,40.5,348.48465
2023-04-03 03:30:00,101917.94,277.6683,,3.5925965e-05,-73.75,40.5,345.42767
2023-04-03 04:30:00,101930.16,277.38007,,3.5555888e-05,-73.75,40.5,343.3027
2023-04-03 05:30:00,101940.67,277.17853,,3.6455862e-05,-73.75,40.5,343.29276
2023-04-03 06:30:00,101943.57,277.02386,,3.890919e-05,-73.75,40.5,343.35226
2023-04-03 07:30:00,101948.94,276.9353,,3.990027e-05,-73.75,40.5,345.00244
2023-04-03 08:30:00,101954.34,276.8926,,4.0400697e-05,-73.75,40.5,346.9145
2023-04-03 09:30:00,101967.47,276.8761,,4.2683652e-05,-73.75,40.5,348.37057
2023-04-03 10:30:00,102043.97,276.93378,,4.418817e-05,-73.75,40.5,348.84186
2023-04-03 11:30:00,102109.8,278.93158,,3.776447e-05,-73.75,40.5,349.6457
2023-04-03 12:30:00,102121.26,280.7192,,3.118011e-05,-73.75,40.5,349.98108
2023-04-03 13:30:00,102102.28,281.80768,,3.655036e-05,-73.75,40.5,350.77554
2023-04-03 14:30:00,102056.27,282.66925,24526.475,4.456414e-05,-73.75,40.5,349.06757
2023-04-03 15:30:00,101983.31,283.27402,24527.992,4.7547906e-05,-73.75,40.5,346.97055
2023-04-03 16:30:00,101932.16,283.69043,24532.059,4.8258655e-05,-73.75,40.5,346.66495
2023-04-03 17:30:00,101880.73,283.9826,24537.592,4.869476e-05,-73.75,40.5,346.94525
2023-04-03 18:30:00,101776.195,283.99628,24534.598,4.9363567e-05,-73.75,40.5,347.3429
2023-04-03 19:30:00,101672.62,283.4752,24535.775,4.8060385e-05,-73.75,40.5,346.1557
2023-04-03 20:30:00,101616.234,282.85858,24533.857,4.5801517e-05,-73.75,40.5,347.08224
2023-04-03 21:30:00,101629.61,282.16638,24532.29,4.4492528e-05,-73.75,40.5,348.13278
2023-04-03 22:30:00,101643.484,281.5249,25970.656,4.4616245e-05,-73.75,40.5,348.83575
2023-04-03 23:30:00,101638.99,281.0339,32994.14,4.0580726e-05,-73.75,40.5,348.01483
2023-04-04 00:30:00,101615.12,280.74304,36989.406,3.4294408e-05,-73.75,40.5,345.27335
2023-04-04 01:30:00,101590.57,280.50452,39753.266,3.3548866e-05,-73.75,40.5,341.81894
2023-04-04 02:30:00,101566.83,280.30603,41561.633,3.0865707e-05,-73.75,40.5,339.11423
2023-04-04 03:30:00,101544.61,280.46393,41626.78,2.4003783e-05,-73.75,40.5,337.1615
2023-04-04 04:30:00,101519.266,280.40485,44519.0,2.522913e-05,-73.75,40.5,335.8244
2023-04-04 05:30:00,101479.664,280.0312,51844.36,2.6876482e-05,-73.75,40.5,335.36743
2023-04-04 06:30:00,101422.58,279.6487,73505.21,2.9111918e-05,-73.75,40.5,334.94907
2023-04-04 07:30:00,101410.49,279.52246,99381.47,3.1576095e-05,-73.75,40.5,334.4177
2023-04-04 08:30:00,101470.195,279.40192,99428.99,3.3567983e-05,-73.75,40.5,335.09485
2023-04-04 09:30:00,101525.086,279.30612,97861.305,3.287961e-05,-73.75,40.5,336.86838
2023-04-04 10:30:00,101560.26,279.4388,97405.16,2.7149708e-05,-73.75,40.5,337.20276
2023-04-04 11:30:00,101586.96,281.13568,45415.348,2.9632227e-05,-73.75,40.5,334.85434
2023-04-04 12:30:00,101600.49,282.4752,66423.47,4.962205e-05,-73.75,40.5,334.35992
2023-04-04 13:30:00,101603.28,283.8149,97030.76,5.500151e-05,-73.75,40.5,332.07803
2023-04-04 14:30:00,101617.98,285.03247,97351.98,5.261767e-05,-73.75,40.5,329.45795
2023-04-04 15:30:00,101611.14,286.02588,92072.46,5.6977842e-05,-73.75,40.5,327.16022
2023-04-04 16:30:00,101598.695,286.55725,,4.7005793e-05,-73.75,40.5,326.03882
2023-04-04 17:30:00,101569.14,286.7423,41479.29,2.893069e-05,-73.75,40.5,326.03024
2023-04-04 18:30:00,101547.67,286.65033,41478.848,3.7816255e-05,-73.75,40.5,325.8498
2023-04-04 19:30:00,101524.625,286.3548,82407.63,4.1412997e-05,-73.75,40.5,325.55704
2023-04-04 20:30:00,101543.12,285.6785,79687.75,3.7719816e-05,-73.75,40.5,325.39807
2023-04-04 21:30:00,101578.46,284.78143,78824.15,3.223706e-05,-73.75,40.5,325.42557
2023-04-04 22:30:00,101640.125,284.03357,78025.16,2.3574396e-05,-73.75,40.5,325.5376
2023-04-04 23:30:00,101698.14,283.55923,77256.945,1.8773888e-05,-73.75,40.5,326.44046
2023-04-05 00:30:00,101773.016,283.32297,77224.766,1.9039344e-05,-73.75,40.5,327.14694
2023-04-05 01:30:00,101833.086,283.12137,77544.6,2.4791632e-05,-73.75,40.5,326.26233
2023-04-05 02:30:00,101841.66,282.87027,79080.445,3.400656e-05,-73.75,40.5,324.2762
2023-04-05 03:30:00,101844.836,282.50415,79528.99,3.903313e-05,-73.75,40.5,322.93652
2023-04-05 04:30:00,101851.84,281.9204,81354.16,4.25507e-05,-73.75,40.5,321.7052
2023-04-05 05:30:00,101862.664,281.5465,100425.21,4.4699e-05,-73.75,40.5,320.91342
2023-04-05 06:30:00,101906.66,281.29486,64135.316,5.207891e-05,-73.75,40.5,318.35382
2023-04-05 07:30:00,101948.97,281.128,30119.12,6.820957e-05,-73.75,40.5,313.7221
2023-04-05 08:30:00,102015.91,281.00092,18850.883,8.1849365e-05,-73.75,40.5,310.78558
2023-04-05 09:30:00,102088.62,280.9605,20759.08,9.283821e-05,-73.75,40.5,308.89417
2023-04-05 10:30:00,102155.98,281.0718,22647.037,9.524591e-05,-73.75,40.5,306.8557
2023-04-05 11:30:00,102212.98,281.6259,24525.596,9.118804e-05,-73.75,40.5,305.19974
2023-04-05 12:30:00,102249.96,282.40662,21574.29,7.631804e-05,-73.75,40.5,303.68027
2023-04-05 13:30:00,102270.21,283.02606,24551.027,6.625866e-05,-73.75,40.5,302.4156
2023-04-05 14:30:00,102253.88,283.5645,24551.21,7.216965e-05,-73.75,40.5,302.37866
2023-04-05 15:30:00,102217.29,284.03708,24546.016,8.170233e-05,-73.75,40.5,302.3064
